logM logR
-0.7018064417251703 -1.3462217221224069
-0.7114984134515197 -1.345926585589768
-0.7213811555141356 -1.3455138591550924
-0.7319809013711732 -1.3449396363330992
-0.743298814420289 -1.344178041364487
-0.7551987728832414 -1.3432683676464037
-0.768679729490401 -1.342104189176001
-0.7831269279985942 -1.3407011704475427
-0.7987004814079689 -1.3390709117093977
-0.8141577608287108 -1.3373382248795058
-0.829417485244057 -1.3355360727190657
-0.8444931176926299 -1.3336736144353731
-0.8593979907924838 -1.3317586309965825
-0.8741402331710164 -1.3298027337932146
-0.8770692887617247 -1.3294082919659511
-0.8887195137145977 -1.327826452372574
-0.9031664288889404 -1.3258062247246793
-0.9174818910604929 -1.3237561391932209
-0.9316587393837744 -1.3217016786040088
-0.9457040055588767 -1.3196469951094785
-0.9596242501107513 -1.3175956252825758
-0.9734272056132933 -1.3155482425630567
-0.987119144102441 -1.313506567479615
-1.0007014177970857 -1.3114784425124608
-1.0141797728148891 -1.3094647375452146
-1.0275545573779754 -1.3074734361278129
-1.0408282218368237 -1.3055089265591742
-1.054005199825269 -1.303572045792226
-1.0670879826709017 -1.3016659287504384
-1.080082857954768 -1.2997874543821137
-1.0929968606187526 -1.2979313257881935
-1.096986374020961 -1.297353014781849
-1.0997653350075562 -1.2969271594992093
-1.102745381681751 -1.2964469524739712
-1.111606299383023 -1.2949772993886304
-1.1244925386658384 -1.2929344929866697
-1.1372611278698723 -1.2909869781560366
-1.1499362412949552 -1.2891035166592573
-1.1625281263641638 -1.28727212322168
-1.175048124781888 -1.2854791120380298
-1.1874996434838312 -1.283722908898073
-1.1924626184683282 -1.2830291642636305
-1.1998879434469345 -1.2819988200134205
-1.2122134313552044 -1.2803094414296456
-1.2244817219008255 -1.2786490910425277
-1.2366929253205456 -1.2770204761235375
-1.248845381543679 -1.2754290469617333
-1.2609395124379614 -1.2738768100784332
-1.272974417184426 -1.2723677991184552
-1.284952585656741 -1.270900408883214
-1.296876007865518 -1.2694737724385852
-1.3087549540329761 -1.2680734296449976
-1.3099400025462984 -1.2679355549565479
-1.320575491556292 -1.2667237998325043
-1.3323303461653382 -1.2654390404241884
-1.3440188101389747 -1.264222290110408
-1.3556332151104613 -1.263088058902293
-1.367172827497138 -1.2620395611844872
-1.3786354576618296 -1.2610821823385558
-1.3900186497175682 -1.2602217540171923
-1.4013205728788307 -1.259463425386019
-1.4125353617593526 -1.2588182970259068
-1.4203361536811303 -1.2584311522975504
-1.4236679047799177 -1.2582798796517372
-1.4347152093776894 -1.2578544461803653
-1.4456682491774664 -1.2575586242424674
-1.4565343233339663 -1.2573817660935043
-1.4673066517694768 -1.257336417036967
-1.4779914854731995 -1.257413629639496
-1.48858236395484 -1.257625181526167
-1.4990863529908853 -1.257960803644234
-1.5095047645225652 -1.2584190571678002
-1.5198312885264207 -1.2590117852735265
-1.530070834393843 -1.2597316612513527
-1.5402202791039727 -1.2605850096376405
-1.5502872716411291 -1.2615598702547373
-1.5522905529946862 -1.261769881828512
-1.5602693435254638 -1.262661224424706
-1.5701697964366812 -1.263884396612305
-1.5799922496652232 -1.26522404012723
-1.5897402874217885 -1.2666748544069029
-1.5994161056072183 -1.2682337882886783
-1.6090230314515002 -1.269895886813238
-1.6185675180789403 -1.2716508200627938
-1.6280553059090828 -1.273489384719129
-1.6374930651205388 -1.2754007712129638
-1.6468876293220818 -1.2773737816926374
-1.6562466352217358 -1.279395829289664
-1.6655796516314014 -1.2814509359950887
-1.674896351093085 -1.2835229825938295
-1.6842041310897509 -1.285599728974613
-1.6935085347211636 -1.2876719901031302
-1.7028129869864455 -1.289734326599577
-1.7121164053150941 -1.2917889282870703
-1.7214157761163273 -1.2938412144547506
-1.7307075278369994 -1.295897615941147
-1.7399835250858442 -1.2979723705002233
-1.7464679147344566 -1.2994348781398048
-1.749245134651946 -1.3000635459714087
-1.7584954873066 -1.3021660166523952
-1.7677346677278856 -1.304279842667551
