logM logR
-0.8239087409443188 -1.6189724826360743
-0.8239087409443188 -1.6189763570502214
-0.8239087409443188 -1.6189777722965586
-0.8239087409443188 -1.6189793101665064
-0.8239087409443188 -1.6189805969270123
-0.8239087409443188 -1.6189816770837577
-0.8239087409443188 -1.618982586043781
-0.8239087409443188 -1.6189833523197124
-0.8239087409443188 -1.6189839991604682
-0.8239087409443188 -1.6189845457110874
-0.8239087409443188 -1.6189850078539507
-0.8239087409443188 -1.6189853988364624
-0.8239087409443188 -1.618985656715389
-0.8239087409443188 -1.6189857437510826
-0.8239087409971511 -1.618985760499215
-0.8239210078042521 -1.618993804948315
-0.824028318616575 -1.6190644824728342
-0.8241696139510145 -1.6191618263115808
-0.8243003411843728 -1.6192580100483913
-0.8244249100537933 -1.619356637419532
-0.8245543814988424 -1.619468347130413
-0.8246869977318602 -1.6195969736475504
-0.8247900429131917 -1.619713690346576
-0.8248866627195214 -1.6198339051965633
-0.824989409694249 -1.6199646202208715
-0.8250687484465805 -1.620067460279248
-0.825153595205574 -1.6201747011066934
-0.8252446336032386 -1.620287382866851
-0.825335948914379 -1.6203975576639105
-0.8254193789655886 -1.6204957524241952
-0.8255188327644085 -1.620607722542434
-0.8256031574052691 -1.620699146584786
-0.8256957479494419 -1.6207949918591325
-0.8257966201129154 -1.620895743053685
-0.8259005166481701 -1.6209951264600853
-0.8259653169290725 -1.6210555813541723
-0.8260664273841303 -1.6211453967822096
-0.826158070231919 -1.6212257422376446
-0.8262603136228177 -1.6213101096012053
-0.8263620785307142 -1.6213902849305826
-0.826454341684711 -1.6214615002203165
-0.8265557929731843 -1.6215359007919474
-0.8266563489244828 -1.6216073394639114
-0.8267892654431164 -1.6216966511352233
-0.8268801524721627 -1.621754787298103
-0.8269930341547944 -1.6218244338848795
-0.8270793522740936 -1.6218761835239839
-0.8271918737761741 -1.6219397928792731
-0.8272947012779471 -1.6219956829985622
-0.8274358569201364 -1.6220666490551316
-0.8275596945125052 -1.6221265182899132
-0.8276561913761017 -1.6221718483566165
-0.8277686294023674 -1.6222212973167702
-0.8279000563308926 -1.6222764841809554
-0.8280378204971975 -1.6223332277226339
-0.8281851937377774 -1.622391612902268
-0.8282940005219955 -1.6224335324253578
-0.8284297627318812 -1.6224843427523783
-0.828582746377301 -1.6225388855389513
-0.8287080166571469 -1.6225840688725457
-0.8288583923165759 -1.6226332841392044
-0.8289577469615697 -1.622664380156818
-0.8290876382297598 -1.6227017190925834
-0.8292109230821864 -1.6227351554438914
-0.8293677943347959 -1.6227721313983032
-0.8294829816601211 -1.6227967290557752
-0.8296217135072743 -1.6228232471112196
-0.8297835312970565 -1.6228503572143071
-0.8299230163607058 -1.6228741147901906
-0.8300562696755248 -1.6228964089926539
-0.8302153210721854 -1.6229221512244134
-0.8303692384182416 -1.6229477084145614
-0.8305081351015117 -1.622970008533396
-0.8307033860229344 -1.6229990001277448
-0.8308513176847189 -1.6230207412284927
-0.8310137786352934 -1.6230425248442972
-0.8311874222494046 -1.6230639053414575
-0.83137203157594 -1.6230842500751521
-0.8315166775961121 -1.6230999039008491
-0.8316735278833286 -1.6231148393403296
-0.8318428241083995 -1.6231298623811812
-0.8320259514158119 -1.623144335694152
-0.8321768893934902 -1.623154121633407
-0.8323720661452196 -1.623165186820474
-0.8325191165547905 -1.623173587410214
-0.8327092687990378 -1.623181716792732
-0.8329326679624548 -1.6231899556604172
-0.8331247309534734 -1.6231968823244227
-0.8332918075592514 -1.6232028095961422
-0.8335008420636627 -1.6232091461302571
-0.8337021844640139 -1.6232133794889598
-0.8338678828445385 -1.623215655780683
-0.8340957004726558 -1.6232152019447958
-0.8342589017397417 -1.6232138845553532
-0.8344921014432506 -1.6232082632819813
-0.8347185541140273 -1.6232010395126626
-0.8349323620916058 -1.6231932876111168
-0.8351484141117668 -1.6231865566905759
-0.8353317878865409 -1.6231819653781556
-0.8355286161469625 -1.6231770994906405
-0.8358347534327393 -1.623169544631351
-0.8361143771267932 -1.6231615212396913
-0.8363263836484004 -1.623152908907271
-0.8365249076548014 -1.6231426736373398
-0.8367396125071636 -1.6231292241178696
-0.8369079475208749 -1.6231176546162993
-0.8370863638032464 -1.623104043613386
-0.8373166687831695 -1.6230851488427094
-0.8375675487216111 -1.623064685118046
-0.8377974369603496 -1.6230460295851055
-0.8380404604402761 -1.6230255024091311
-0.8382681562946206 -1.6230066944737498
-0.8385206283535905 -1.6229850961492898
-0.8387867449339127 -1.622960530335287
-0.8390347410313177 -1.622937267058743
-0.8393629281358314 -1.6229042980086155
-0.8396336627084421 -1.6228752379444322
-0.8399147258929134 -1.6228447887703226
-0.840188090741858 -1.6228137300183711
-0.8404345886069324 -1.622785079647178
-0.8406009646637187 -1.6227654463338954
-0.8408861487247654 -1.622730857007718
-0.8410972150822624 -1.622704717238837
-0.8413668944577268 -1.622671016160396
-0.8416647263002887 -1.6226324574010442
-0.8420327678668752 -1.6225830075426806
-0.8423536633604963 -1.6225392521152577
-0.8426158907273534 -1.6225025317371085
-0.8428960685685206 -1.6224626392404193
-0.8432606224757673 -1.622409605154243
-0.8435394683994432 -1.6223685605159217
-0.8438474842213708 -1.6223218029513229
-0.8441450009002379 -1.6222762971665043
-0.8444102502917885 -1.6222351629324825
-0.8447230823829472 -1.622185793692702
-0.8449810697707799 -1.6221444425667628
-0.8453466268250314 -1.6220848364360831
-0.8457496826951748 -1.6220181822888944
-0.8460879794858692 -1.621961365503354
-0.846502903362561 -1.6218907572010468
-0.8469167749692664 -1.6218190276316113
-0.8472693593701768 -1.621756776133077
-0.8475997189786854 -1.6216978857774416
-0.8480150039245385 -1.621623149712542
-0.8483402805755239 -1.6215636559841742
-0.8487893913941346 -1.6214806781864752
-0.849159629360179 -1.6214114893435363
-0.8496329345043446 -1.621321825788967
-0.8501170942417388 -1.621229223569621
-0.8504673886121211 -1.6211609698655995
-0.8508717806620202 -1.621081930592116
-0.8513060583743727 -1.6209959665632316
-0.8516998438295782 -1.6209174723472446
-0.8521541987596022 -1.6208261340109589
-0.8526481545205808 -1.6207257295223072
-0.853062949018098 -1.6206402252380312
-0.8535003180874553 -1.6205497948108265
-0.8539290777212375 -1.6204602934852983
-0.853971237030815 -1.6204514016215517
-0.8543935519594086 -1.6203624475885037
-0.8548075119488693 -1.6202747839308456
-0.8552517945312978 -1.6201798405193377
-0.8556896626501331 -1.620085546547854
-0.8561609801801532 -1.6199831326640852
-0.8566663084020655 -1.6198726449270324
-0.8571221910912304 -1.619771952188769
-0.8576175811286986 -1.619662396976095
-0.8581913569609582 -1.6195341803617425
-0.8586680583379526 -1.6194269058915223
-0.8591344623848038 -1.619321324649529
-0.8597175975680604 -1.6191885941329833
-0.8602333482739793 -1.6190704489771828
-0.8608331100989285 -1.6189321880317218
-0.8612876279531828 -1.618826670636412
-0.8616960545393817 -1.6187314134486017
-0.8622210841728001 -1.618608910025359
-0.8626932666584567 -1.618497585296236
-0.8631591906997947 -1.6183874995649208
-0.8637526558701446 -1.618246629969963
-0.8642400948514316 -1.6181302082085256
-0.8647620547598972 -1.6180054149218832
-0.8652762868821441 -1.6178814313031065
-0.8657474530566829 -1.6177676930626956
-0.8663428415394048 -1.6176232380900966
-0.8668794742592073 -1.617492908930585
-0.8673014167399441 -1.6173897344638715
-0.8679478673427391 -1.617231514610858
-0.8685478784495477 -1.6170834776353689
-0.8691115425357717 -1.6169440057314135
-0.8697643619984434 -1.6167820134769748
-0.8702327445007564 -1.6166653901380537
-0.8708105403726224 -1.6165210544141428
-0.8714626022979961 -1.616357543269742
-0.8719906443711277 -1.6162245278456735
-0.8726454587910393 -1.6160590295831136
-0.8732022909402346 -1.6159182336334785
-0.8738328135007597 -1.615757393394601
-0.8744551755873957 -1.615598879168248
-0.8749051277653197 -1.6154835823392752
-0.8755939157168383 -1.6153068604538905
-0.8761497492338027 -1.6151638485329296
-0.8767229968336007 -1.6150156270014535
-0.8773442070000828 -1.6148549784136694
-0.87807038828122 -1.6146664904799621
-0.8785501744398011 -1.61454173292353
-0.8790889703761874 -1.6144012951906503
-0.8797761256704798 -1.6142218385844864
-0.8805855669439102 -1.6140098721799088
-0.8812198000355695 -1.6138432331769528
-0.8817344592313004 -1.6137079887570263
-0.8823787814235816 -1.6135374923564239
-0.8830761159416831 -1.6133534278824833
-0.883708587199564 -1.6131859134054234
-0.8842147736078563 -1.6130520048220023
-0.8848943630616977 -1.6128705702408954
-0.8855365717331173 -1.6126997615485703
-0.8860916772507111 -1.6125513184000357
-0.8861999446078491 -1.6125226031255835
-0.8868324581507369 -1.6123532558457687
-0.8874969608770887 -1.6121754075907444
-0.8881819435198581 -1.6119908688138793
-0.8887347458661204 -1.6118423728300635
-0.8895352098583217 -1.6116264261994135
-0.890227598289037 -1.611438949233986
-0.8909886646202373 -1.611232999314572
-0.8915827263463754 -1.6110721658360234
-0.8924485096235514 -1.6108367931747671
-0.8931631701465556 -1.6106421670736994
-0.8937639690385886 -1.6104783601043096
-0.8945149377068856 -1.6102728426509805
-0.895297805876102 -1.6100588292382283
-0.8959289874074414 -1.6098858235853646
-0.8967167829783218 -1.6096699989776404
-0.8975606934625547 -1.6094375037722306
-0.8982462476060682 -1.6092488579159865
-0.8989363069022641 -1.6090590030898824
-0.8997205406622484 -1.6088422558550286
-0.9003450498732248 -1.608669903882172
-0.9011825631848178 -1.6084379775782023
-0.9019767670925388 -1.608217738636108
-0.902775958137946 -1.6079964614881888
-0.9035110014602514 -1.6077920738602367
-0.9045136055743457 -1.6075129462749569
-0.9051879533894931 -1.607325314003147
-0.9059700357415922 -1.6071071102062482
-0.9068274362267537 -1.606867563052527
-0.9075349012848487 -1.6066701328334017
-0.9085254093170946 -1.6063929343645094
-0.9094667505622667 -1.606129018476052
-0.9103643849552866 -1.605877239240829
-0.9111425591507165 -1.6056587833149443
-0.9118161254534951 -1.6054694826705542
-0.9126804991916276 -1.6052261044645468
-0.9135018038930185 -1.6049944777189113
-0.9142835531400831 -1.604774166594527
-0.9151219814867074 -1.6045374642765677
-0.916092882242835 -1.6042626631445964
-0.9169444010048725 -1.6040216802983394
-0.9181018803335731 -1.6036939069935285
-0.9189245676565636 -1.6034603068304976
-0.9199776777031332 -1.6031611544769395
-0.9208423616987249 -1.6029151004857314
-0.9218075545391298 -1.602640499231056
-0.9226904377151733 -1.6023891777535195
-0.9237205761696263 -1.6020956375434945
-0.9248074407009171 -1.6017854911200855
-0.9257882860353489 -1.601505253150531
-0.9266892279999841 -1.6012478801958683
-0.9275871849394163 -1.600991436529022
