logM logR
-0.8239087409443188 -1.4500389152097128
-0.8239087409443188 -1.4423164705962082
-0.8239087409443188 -1.440117341168573
-0.8239087409443188 -1.4382920368320897
-0.8239087409443188 -1.436961801492989
-0.8239087409443188 -1.4357478953517107
-0.8239087409443188 -1.434880277803127
-0.8239087409443188 -1.434206908013842
-0.8239087409443188 -1.4336573181624357
-0.8239087409443188 -1.4332706033189053
-0.8239087409443188 -1.4329889635333826
-0.8239087409443188 -1.4327833661310792
-0.8239087409443188 -1.4327131724085436
-0.8239087412892692 -1.4326942267509792
-0.824064927100284 -1.4328030662371138
-0.8257680618033542 -1.4341506437898408
-0.8315408535721726 -1.440312310230853
-0.8358748523786873 -1.444450672654366
-0.8399942326530165 -1.4473461534782877
-0.8430725733319965 -1.4490547713016408
-0.8462801058087643 -1.4505127571464593
-0.8495963014061765 -1.4517529829488525
-0.8525629140053651 -1.4526795470285343
-0.853980421795445 -1.4530687265259614
-0.8558945574827594 -1.4535494520405976
-0.859082700102713 -1.4542470804066399
-0.8623778366565864 -1.4548471642917198
-0.8659618464719017 -1.4553841506975844
-0.8701761560939703 -1.4558853080093503
-0.8740267366212334 -1.4562431901283022
-0.8782405863825369 -1.456533934403972
-0.8826665009200072 -1.4567496919476182
-0.8865970882400487 -1.4568690849006791
-0.887834924888737 -1.4568969702260741
-0.892173211013522 -1.4569434344318968
-0.8969604420081667 -1.4569225204652818
-0.9026564535472953 -1.4568083696232839
-0.9076137337730196 -1.4566380209431122
-0.9093144627172817 -1.4565631504074672
-0.9143394386300636 -1.456308562837721
-0.9192954921879648 -1.4560029085659447
-0.9209511933642198 -1.4558904133925663
-0.9253880799895938 -1.4555638683302647
-0.9325491192213609 -1.4549607785752885
-0.9402701341477931 -1.4542231735542719
-0.9520383543753946 -1.4529465610223724
-0.9587392582268368 -1.4521408507434328
-0.9654479359896573 -1.4512842986331798
-0.978883425726249 -1.4494389986481113
-0.9923283182657422 -1.4474438515673949
-1.0003934113231687 -1.4461864039964192
-1.0057683913500364 -1.4453252075331153
-1.019192459324455 -1.443105208387042
-1.0325941152952078 -1.4407988869598913
-1.0459700964825893 -1.4384165050279811
-1.059312183467686 -1.4359754977836554
-1.0726192372317915 -1.4334827764459976
-1.0858862212820641 -1.4309508469785897
-1.097790893099177 -1.4286445163120263
-1.0991114522768972 -1.428386950215943
-1.1122931666203744 -1.4257983722405816
-1.1254302217321406 -1.4231912063172598
-1.1385208771015305 -1.420572239899031
-1.1515636954196529 -1.4179477456845722
-1.1528653800912212 -1.4176850909730994
-1.1554672114150448 -1.417159898833521
-1.164557935842685 -1.4153226732977306
-1.1775025894765607 -1.4127021841819294
-1.190397577419446 -1.410089960729028
-1.2032423656177291 -1.407490070062471
-1.2160370257232935 -1.4049055630145295
-1.2224159521776978 -1.4036194071002475
-1.228781509330798 -1.402339576114645
-1.2414742281342834 -1.3997974217988964
-1.2541151662406451 -1.3972819799104115
-1.266704507095122 -1.3947955134556915
-1.2792422729550021 -1.3923405766815624
-1.2917270683680746 -1.3899217418749488
-1.3016757310517975 -1.3880159369135696
-1.3041577087467227 -1.3875432810179278
-1.3140627240252831 -1.3856718548114462
-1.316533246375793 -1.38520891985762
-1.3288546961721648 -1.382919235411707
-1.3411183870626397 -1.3806821185138614
-1.3533255638232184 -1.3784976330795362
-1.365473447601638 -1.3763721497420325
-1.3775689912516345 -1.3742951978648943
-1.3896167840747273 -1.3722615856766094
-1.3980209435565585 -1.3708661240002087
-1.4016155126729957 -1.370275018810918
-1.4135668458944657 -1.3683342454210061
-1.4254701258049978 -1.3664417575649213
-1.4373260277928428 -1.3645978099107399
-1.4455962968902683 -1.3633377588828832
-1.4491338265261513 -1.362804891300269
-1.4608999097411404 -1.361053680028472
-1.4726300687385023 -1.3593356752211527
-1.4843412935554825 -1.3576234701879935
-1.4960126417708408 -1.3559526603954715
-1.507634805969512 -1.3543402429908262
-1.5192092673575706 -1.3527848147768553
-1.5238257154092543 -1.3521787764835558
-1.5307382397410276 -1.3512836227664098
-1.5422223032176243 -1.3498365579162837
-1.553653582861923 -1.3484577361945864
-1.5627587161691607 -1.3474076856788784
-1.5650292359993894 -1.3471529676378617
-1.5763463255241028 -1.3459280164314666
-1.5876016125237287 -1.3447893056126277
-1.598799596329485 -1.3437301112326818
-1.6099437335085027 -1.3427452495805257
-1.6210415970628367 -1.341822818016543
-1.6321056029358665 -1.3409421647488728
-1.643123416779803 -1.3401248252547222
-1.6541031389183745 -1.3393577220567692
-1.6650383382371892 -1.338652282934017
-1.6726702956376949 -1.3381890719655216
-1.6759350694286415 -1.3379988736332973
-1.686787860709185 -1.3374071941245012
-1.6976026798195163 -1.3368677856799227
-1.6997607600603661 -1.3367667408036572
-1.7083767215515253 -1.3363857341979244
-1.7191140314906914 -1.335954727413856
-1.7298153935865646 -1.3355738368696706
-1.740483158906406 -1.3352394588503118
-1.7511178634863451 -1.3349510617910993
-1.761720994056684 -1.3347065019255675
-1.7701813599188774 -1.3345416395572829
-1.772293905584563 -1.3345038271271172
-1.782842502176073 -1.3343333104494084
-1.7933702192870185 -1.3341893792364174
-1.8038819293804325 -1.3340639903890532
-1.8143822429984644 -1.3339495033103812
-1.8248738449573967 -1.3338415697047128
-1.8353615899836668 -1.3337321286568127
-1.845849033370882 -1.3336152754872563
-1.8563385984450467 -1.3334870627831483
-1.8668314693847767 -1.3333456443580984
-1.8773289024156494 -1.3331890891587723
-1.884681040931121 -1.3330684994652484
-1.8867823335381653 -1.333032239759494
-1.8878330874557026 -1.3330138195411032
-1.8983441070245244 -1.3328198573465808
-1.908860815535539 -1.3326093551872125
-1.9193853563116505 -1.3323788334641955
-1.9299179216327864 -1.3321280932671278
-1.940459831262077 -1.3318550904768856
-1.951013415929767 -1.3315559138786954
-1.958407275714951 -1.3313320100467059
-1.9615776924794615 -1.3312323931819752
-1.972153180368842 -1.3308837995578742
-1.9732112519991807 -1.330847720442482
-1.9827392084858446 -1.3305114229624724
-1.9933370839592737 -1.3301131936402737
