logM logR
-2.3 -1.2061406240198567
-2.275 -1.2088652328452283
-2.25 -1.2116947651092902
-2.2249999999999996 -1.2146222041477446
-2.1999999999999997 -1.2176526759385573
-2.175 -1.2207884387862784
-2.15 -1.2240325380448795
-2.125 -1.227439185834452
-2.0999999999999996 -1.230901927591815
-2.0749999999999997 -1.2344956219653835
-2.05 -1.2382268032200225
-2.025 -1.2420966880739412
-2.0 -1.2461153227012818
-1.9749999999999999 -1.250290887522147
-1.95 -1.2546837915946167
-1.9249999999999998 -1.2591732298775113
-1.9 -1.2638291382395614
-1.875 -1.2686426938614817
-1.8499999999999999 -1.2736045959107942
-1.825 -1.2786976319982741
-1.7999999999999998 -1.284008380001615
-1.775 -1.2892862185776979
-1.75 -1.2946719733114878
-1.725 -1.3001193516881075
-1.7 -1.3056026881799747
-1.6749999999999998 -1.3111028615724976
-1.65 -1.3166003391237937
-1.625 -1.3221835148661536
-1.6 -1.3275553209297908
-1.575 -1.3329262438553677
-1.55 -1.3382580912740927
-1.525 -1.3435439049885243
-1.5 -1.3487850334039113
-1.475 -1.3539840804375463
-1.45 -1.3591606214018677
-1.425 -1.364078532762104
-1.4 -1.3690129969045581
-1.375 -1.3739471951058497
-1.35 -1.378891774185968
-1.3250000000000002 -1.3838615362677416
-1.3 -1.38885194545108
-1.2750000000000001 -1.3939534259005169
-1.25 -1.3989247717928481
-1.225 -1.4039003524642608
-1.2000000000000002 -1.4089076399917149
-1.175 -1.4136593319310249
-1.1500000000000001 -1.4185215930488864
-1.125 -1.4232473287713434
-1.1 -1.427806318980569
-1.0750000000000002 -1.4322079297504775
-1.05 -1.4363882964419916
-1.0250000000000001 -1.4403290551135053
-0.9999999999999999 -1.443913902948215
-0.9750000000000001 -1.4471315782699652
-0.9500000000000002 -1.449769207668484
-0.925 -1.451842499237182
-0.9000000000000001 -1.4530855754882965
-0.8750000000000002 -1.4534905256586201
-0.85 -1.452292521604512
