logM logR
-0.8239087409443188 -1.5779940498640468
-0.8239087409443188 -1.578006849615532
-0.8239087409443188 -1.5780226883483823
-0.8239087409443188 -1.578034707561115
-0.8239087409443188 -1.5780446362777443
-0.8239087409443188 -1.5780529703790838
-0.8239087409443188 -1.5780600184559597
-0.8239087409443188 -1.5780659992228734
-0.8239087409443188 -1.578071081483018
-0.8239087409443188 -1.578075402186267
-0.8239087409443188 -1.5780790754542642
-0.8239087409443188 -1.5780821976751171
-0.8239087409443188 -1.5780848507770417
-0.8239087409443188 -1.578087104583722
-0.8239087409443188 -1.5780890186521421
-0.8239087409443188 -1.57809042249209
-0.8239087409443188 -1.5780908989133149
-0.8239087409443636 -1.5780910353285935
-0.8239803299533673 -1.5782037806940454
-0.8246265175194364 -1.5793185468483215
-0.8252672524313247 -1.580711075640137
-0.8254933924548057 -1.5812813152767373
-0.8257071175929668 -1.5818140023408755
-0.8259179245230679 -1.5823162159242221
-0.8260999566961852 -1.582728933437324
-0.8262792211320681 -1.5831146471146886
-0.8264635574318023 -1.583493476542919
-0.8266567827509768 -1.5838700642942196
-0.8268530811442701 -1.5842304912916376
-0.8270289395898098 -1.5845408164794479
-0.8272221674498389 -1.5848657226626022
-0.82737211945853 -1.5851070258717712
-0.8275368440450601 -1.5853626418610358
-0.8276755379732613 -1.585570700700568
-0.827827860108392 -1.5857906219617592
-0.8279682819122328 -1.5859865739171468
-0.8281221846777425 -1.586193914354467
-0.8282655176638136 -1.5863805950781815
-0.8284069891546112 -1.5865596155779844
-0.8285480725084587 -1.586732854888981
-0.8286894147676295 -1.5869014079665829
-0.8288303897775825 -1.5870645952951914
-0.828971459408867 -1.587223639384375
-0.8291119030164135 -1.5873779337768092
-0.8292651838594604 -1.5875410983792573
-0.8294187829488106 -1.5876998407650076
-0.8295596368749942 -1.5878413897651946
-0.8297016075819504 -1.587979767513172
-0.829853433211812 -1.5881246313921282
-0.8300054001916846 -1.5882648635274792
-0.8301563074561986 -1.588400465448045
-0.8303182520167126 -1.5885423817729785
-0.8304700838483169 -1.5886713633165273
-0.8306081902630507 -1.588785665351849
-0.8307581308691413 -1.5889066248163495
-0.830920842570865 -1.5890348806451493
-0.8310695580122337 -1.5891486732008508
-0.8312295182345716 -1.5892671504518494
-0.8313863250287918 -1.5893811432952274
-0.8315419470516525 -1.5894916502415846
-0.831711088386123 -1.5896081039090195
-0.8318319022569863 -1.5896889199989155
-0.8319712316862266 -1.5897808737690797
-0.8321136910629409 -1.5898730481708603
-0.8322435775262821 -1.5899545258913839
-0.8323943244256089 -1.5900487344490601
-0.8325314918312745 -1.590130892029389
-0.8326788984885243 -1.590219293664494
-0.8328010228331496 -1.5902906859140595
-0.8329715573654117 -1.5903885394592177
-0.8331309634323734 -1.5904770533817332
-0.8332967931154025 -1.590568217460608
-0.8334669775674786 -1.590657787973026
-0.8336326150419311 -1.5907433152667245
-0.8337845194611553 -1.5908204774873864
-0.8339341454966173 -1.5908943057311442
-0.834069584859464 -1.5909596153381813
-0.8342353087287194 -1.5910394311790854
-0.8344108967810748 -1.5911213940893758
-0.8345703230338657 -1.5911936997837692
-0.8347290023701518 -1.5912640574875165
-0.834887365718368 -1.5913324876848725
-0.8350314264622721 -1.5913929525241195
-0.8351992483850884 -1.5914630992848486
-0.8353511349597165 -1.5915253847195803
-0.8355159443632052 -1.5915911130190004
-0.8356778451434427 -1.591655193342573
-0.8358573673208729 -1.5917237259833334
-0.8360164030535073 -1.5917826446242316
-0.8361902224185818 -1.5918457044379162
-0.8363601272476165 -1.591906617482853
-0.8365143999688478 -1.591960026472197
-0.8366805182063584 -1.5920169239471127
-0.8368595029180531 -1.5920765599299316
-0.8370266194824043 -1.5921305686905785
-0.8371870096327969 -1.5921812000252693
-0.8373760317333319 -1.5922399233232611
-0.8375804338388311 -1.5923013294992925
-0.8377803240558602 -1.5923601709595567
-0.837961770509839 -1.5924117342576918
-0.8381573238787257 -1.592466391050383
-0.8383659818102787 -1.5925227939508855
-0.8385686769669095 -1.5925743855179144
-0.838749380644806 -1.592620067724871
-0.8389441119029549 -1.592668343729597
-0.8391729392305545 -1.5927226359115665
-0.8393496772942443 -1.592763766161749
-0.8395727782071706 -1.5928139381035424
-0.839793914793213 -1.5928620039547166
-0.8400116205111787 -1.592908400146773
-0.8402464888995789 -1.5929568381139323
-0.8404794690254892 -1.5930041309695315
-0.8407084533527751 -1.5930493086800877
-0.8409188788231973 -1.5930895323588585
-0.8411632950307133 -1.5931353776739139
-0.8413874782355413 -1.59317589549983
-0.8416049432006628 -1.5932142095124389
-0.8418390961868119 -1.5932546165572057
-0.842053402604291 -1.593290386853858
-0.842284345567328 -1.5933277816074816
-0.8425295011120619 -1.59336704881807
-0.8427890527756499 -1.593406577827098
-0.8430011620548161 -1.5934374316268332
-0.8432157953929986 -1.5934686882213527
-0.8434876803709219 -1.5935062445275456
-0.8437571457577474 -1.5935419275611717
-0.8440230869605707 -1.5935755347357183
-0.844310077644559 -1.5936096477861408
-0.8445527855593762 -1.5936370412084067
-0.8447911818773652 -1.5936632983325596
-0.8450670407534436 -1.5936923804166854
-0.845338919959387 -1.5937191009010703
-0.8456259256713795 -1.5937462099608326
-0.8459320696928331 -1.593773598997624
-0.8462089692192156 -1.5937967718252093
-0.8465014351871634 -1.5938198777817763
-0.8467892354793335 -1.5938409857586398
-0.8470927511746641 -1.5938622291912314
-0.84733344173274 -1.5938772573207942
-0.8475803984940278 -1.5938923035817547
-0.8478720013756366 -1.5939091446727582
-0.848186327411414 -1.5939254089350579
-0.8484977548808892 -1.5939397687995944
-0.8487622116047934 -1.5939509172290143
-0.8490879613998402 -1.5939637727032996
-0.849431795630461 -1.5939752955805782
-0.8497363789507792 -1.593984084100465
-0.8500593049427505 -1.5939921286872851
-0.8504071106172841 -1.5939990319649826
-0.8507209886069034 -1.5940038197455155
-0.8510583591096255 -1.5940081951142562
-0.8514219597018503 -1.5940107412578848
-0.8517486973908293 -1.5940120683651267
-0.8520689316321263 -1.5940122430315606
-0.8524134320401454 -1.5940112265438495
-0.8527833360254077 -1.5940082077531008
-0.8531400950984441 -1.5940046703019115
-0.8535233297479266 -1.5939987650901226
-0.8539026917550279 -1.5939909654457332
-0.854269833796649 -1.5939824492863484
-0.8546647296141275 -1.5939718338563182
-0.8550494496156869 -1.5939601946988078
-0.8554353859959214 -1.5939460980513631
-0.8558085580450678 -1.5939318684272727
-0.856209850785841 -1.5939151961265587
-0.8566415254810725 -1.5938954624298278
-0.857030205118663 -1.5938767509014786
-0.8573856221290161 -1.5938581599055845
-0.857834698423741 -1.5938338794721019
-0.8582404416386548 -1.5938097089884427
-0.8586192903872707 -1.5937866054423317
-0.8589342672945356 -1.5937657483465095
-0.8593263477073178 -1.5937395221387476
