x, y
7.0211161387631975, 6.972420837589377
10.135746606334841, 9.127681307456587
14.939668174962293, 9.99591419816139
12.722473604826545, 9.669050051072524
17.68476621417798, 10.210418794688458
21.80241327300151, 10.486210418794688
26.025641025641026, 10.751787538304391
24.336349924585218, 10.608784473953014
28.031674208144796, 10.93564862104188
30.301659125188536, 11.139938712972421
32.835595776772244, 11.415730337078651
35.79185520361991, 11.722165474974464
39.53996983408748, 12.161389172625128
44.23831070889894, 12.6414708886619
47.2473604826546, 12.917262512768131
51.417797888386126, 13.284984678243106
55.37707390648567, 13.560776302349336
59.81146304675716, 13.877425944841676
60.97285067873303, 13.969356486210419
